"parameter","true","point","lwr","upr","covers","time","fail","method","replicate"
"mu",1000,19235.0786568054,8227.94426441811,48785.9399523737,FALSE,90.678,FALSE,"adaptive",1
"alpha",1,0.969528465177779,0.777393936530485,1.19718295642421,TRUE,90.678,FALSE,"adaptive",1
"beta",99,1899.23043799075,785.973886444893,5022.83823097745,FALSE,90.678,FALSE,"adaptive",1
"p_hat",0.01,0.000510224440739282,0.000195553098158404,0.00118953958797988,FALSE,90.678,FALSE,"adaptive",1
"n_iter",NA,20000,20000,20000,NA,90.678,FALSE,"adaptive",1
"mu",1000,865.296696576455,535.05424500566,1355.44273819047,TRUE,6.53299999999999,FALSE,"fixed",1
"alpha",1,0.951501562054547,0.77335676592918,1.1727671193157,TRUE,6.53299999999999,FALSE,"fixed",1
"beta",99,83.1083992774584,49.5621964143565,141.516551334516,TRUE,6.53299999999999,FALSE,"fixed",1
"p_hat",0.01,0.0113193276764762,0.00712518111408301,0.0180246067707004,TRUE,6.53299999999999,FALSE,"fixed",1
"n_iter",NA,1000,1000,1000,NA,6.53299999999999,FALSE,"fixed",1
"mu",1000,19203.4234666845,3839.59197095216,102998.984624528,FALSE,94.576,FALSE,"adaptive",2
"alpha",1,0.927445687549628,0.74998577275512,1.1439978642714,TRUE,94.576,FALSE,"adaptive",2
"beta",99,1856.59556018014,365.617669369235,9644.74630472831,FALSE,94.576,FALSE,"adaptive",2
"p_hat",0.01,0.000499291629024212,9.47554526368081e-05,0.00247292493099496,FALSE,94.576,FALSE,"adaptive",2
"n_iter",NA,20000,20000,20000,NA,94.576,FALSE,"adaptive",2
"mu",1000,861.450066604324,457.312356016294,1520.33155625069,TRUE,6.38800000000003,FALSE,"fixed",2
"alpha",1,0.909958205254692,0.714054185852146,1.1332176456211,TRUE,6.38800000000003,FALSE,"fixed",2
"beta",99,81.0346091679544,41.4477804703269,155.587048648153,TRUE,6.38800000000003,FALSE,"fixed",2
"p_hat",0.01,0.0111045580497163,0.00630449802949451,0.0211957115365059,TRUE,6.38800000000003,FALSE,"fixed",2
"n_iter",NA,1000,1000,1000,NA,6.38800000000003,FALSE,"fixed",2
"mu",1000,141.973771704833,31.3331938953073,692.841209882434,FALSE,1.64499999999998,FALSE,"adaptive",3
