"parameter","true","point","lwr","upr","covers","time","fail","method","replicate"
"alpha",1,0.854195653605799,0.623424778135062,1.16474400856769,TRUE,1.64499999999998,FALSE,"adaptive",3
"beta",99,11.7167144580133,2.05781563815431,80.7506625308043,FALSE,1.64499999999998,FALSE,"adaptive",3
"p_hat",0.01,0.0679501838785946,0.0127708196668562,0.263994381904505,FALSE,1.64499999999998,FALSE,"adaptive",3
"n_iter",NA,219,169,244,NA,1.64499999999998,FALSE,"adaptive",3
"mu",1000,141.825829108598,30.5186117317488,875.832793470037,FALSE,5.779,FALSE,"fixed",3
"alpha",1,0.854319748437567,0.628709846805307,1.19740448271179,TRUE,5.779,FALSE,"fixed",3
"beta",99,11.7048346068795,1.82456286251985,103.761619333022,TRUE,5.779,FALSE,"fixed",3
"p_hat",0.01,0.0680236681760248,0.0109843492471812,0.269116713530132,FALSE,5.779,FALSE,"fixed",3
"n_iter",NA,1000,1000,1000,NA,5.779,FALSE,"fixed",3
"mu",1000,92.5705566970752,37.7918599280839,241.914760725979,FALSE,1.01299999999998,FALSE,"adaptive",4
"alpha",1,0.824679963428687,0.597678441240598,1.11668351894516,TRUE,1.01299999999998,FALSE,"adaptive",4
"beta",99,6.68661496637872,1.98048607840971,22.7948530719021,FALSE,1.01299999999998,FALSE,"adaptive",4
"p_hat",0.01,0.109791982758668,0.0401649016503578,0.246815909038811,FALSE,1.01299999999998,FALSE,"adaptive",4
"n_iter",NA,152,107,177,NA,1.01299999999998,FALSE,"adaptive",4
"mu",1000,92.5647254000958,35.7446183626904,224.921861945742,FALSE,5.82999999999998,FALSE,"fixed",4
"alpha",1,0.824614181662191,0.595599034567488,1.16185170173727,TRUE,5.82999999999998,FALSE,"fixed",4
"beta",99,6.68579190465646,1.76167057798509,22.6013572499759,FALSE,5.82999999999998,FALSE,"fixed",4
"p_hat",0.01,0.109796217699114,0.0441444558952603,0.253586148414422,FALSE,5.82999999999998,FALSE,"fixed",4
"n_iter",NA,1000,1000,1000,NA,5.82999999999998,FALSE,"fixed",4
"mu",1000,99.3906994043495,38.1711249350102,267.344790673683,FALSE,1.06999999999999,FALSE,"adaptive",5
"alpha",1,0.831074614117804,0.60453942607901,1.11696134489145,TRUE,1.06999999999999,FALSE,"adaptive",5
"beta",99,7.37434095958721,2.11714257618147,26.3219336995738,FALSE,1.06999999999999,FALSE,"adaptive",5
"p_hat",0.01,0.101283671332998,0.0367444456558139,0.238356283155498,FALSE,1.06999999999999,FALSE,"adaptive",5
"n_iter",NA,162,120,186,NA,1.06999999999999,FALSE,"adaptive",5
"mu",1000,99.3550964843684,38.0616346575567,252.180823163888,FALSE,5.80199999999996,FALSE,"fixed",5
"alpha",1,0.831180841463447,0.607867549992141,1.13958560561408,TRUE,5.80199999999996,FALSE,"fixed",5
"beta",99,7.37264812721321,2.07596749404017,26.4826518441557,FALSE,5.80199999999996,FALSE,"fixed",5
"p_hat",0.01,0.101316207911819,0.0389522051765708,0.244753457996662,FALSE,5.80199999999996,FALSE,"fixed",5
"n_iter",NA,1000,1000,1000,NA,5.80199999999996,FALSE,"fixed",5
"mu",1000,19240.0007101725,9232.47885553578,41786.3760550202,FALSE,100.427,FALSE,"adaptive",6
"alpha",1,0.946888882934505,0.767276544356599,1.16425836970623,TRUE,100.427,FALSE,"adaptive",6
"beta",99,1899.39312198044,891.716818856263,4188.40485065896,FALSE,100.427,FALSE,"adaptive",6
"p_hat",0.01,0.000498273402402505,0.000233241283329437,0.00107244907153938,FALSE,100.427,FALSE,"adaptive",6
"n_iter",NA,20000,20000,20000,NA,100.427,FALSE,"adaptive",6
"mu",1000,867.315403118797,595.073875296461,1309.50555267191,TRUE,6.83100000000002,FALSE,"fixed",6
"alpha",1,0.928910603102096,0.743932481876059,1.15735777000388,TRUE,6.83100000000002,FALSE,"fixed",6
"beta",99,83.2867266174488,55.1599808077186,129.751700207935,TRUE,6.83100000000002,FALSE,"fixed",6
"p_hat",0.01,0.0110301439704053,0.00727928401928102,0.0160088707614622,TRUE,6.83100000000002,FALSE,"fixed",6
"n_iter",NA,1000,1000,1000,NA,6.83100000000002,FALSE,"fixed",6
"mu",1000,19214.534834486,5300.6406275106,65624.3461342685,FALSE,90.846,FALSE,"adaptive",7
"alpha",1,0.94745718312796,0.757836005945485,1.14909333679948,TRUE,90.846,FALSE,"adaptive",7
"beta",99,1861.50707762369,499.323080336274,6604.30674004539,FALSE,90.846,FALSE,"adaptive",7
"p_hat",0.01,0.000508714261433628,0.000146971735120494,0.00184106321409933,FALSE,90.846,FALSE,"adaptive",7
"n_iter",NA,20000,20000,20000,NA,90.846,FALSE,"adaptive",7
"mu",1000,864.428139624795,490.662505932458,1473.51608119299,TRUE,6.47799999999995,FALSE,"fixed",7
"alpha",1,0.929409100460174,0.741721605206617,1.14992988398933,TRUE,6.47799999999995,FALSE,"fixed",7
"beta",99,81.4405768370467,45.188590927577,155.972664249395,TRUE,6.47799999999995,FALSE,"fixed",7
"p_hat",0.01,0.0112833465962384,0.00640017535526667,0.0199195853957818,TRUE,6.47799999999995,FALSE,"fixed",7
"n_iter",NA,1000,1000,1000,NA,6.47799999999995,FALSE,"fixed",7
"mu",1000,138.485614080828,10.4851771974611,1756.25031554248,TRUE,2.07399999999996,FALSE,"adaptive",8
"alpha",1,1.17889881749527,0.806988067964964,1.75425510415337,TRUE,2.07399999999996,FALSE,"adaptive",8
"beta",99,15.3497210473487,0.693022891162333,313.189956195963,TRUE,2.07399999999996,FALSE,"adaptive",8
"p_hat",0.01,0.0713246978353443,0.00545209626146599,0.539967942408817,TRUE,2.07399999999996,FALSE,"adaptive",8
"n_iter",NA,217,186,238,NA,2.07399999999996,FALSE,"adaptive",8
"mu",1000,138.37923327438,7.52505663667206,1870.37863562244,TRUE,5.60700000000008,FALSE,"fixed",8
"alpha",1,1.17877480718127,0.820418678987775,1.67906765070067,TRUE,5.60700000000008,FALSE,"fixed",8
"beta",99,15.3358464853518,0.500093835490834,296.180375514558,TRUE,5.60700000000008,FALSE,"fixed",8
"p_hat",0.01,0.0713776468924691,0.00503572830390613,0.626646504507694,TRUE,5.60700000000008,FALSE,"fixed",8
"n_iter",NA,1000,1000,1000,NA,5.60700000000008,FALSE,"fixed",8
"mu",1000,19223.7672672226,6804.46241477262,51616.2488874075,FALSE,93.84,FALSE,"adaptive",9
"alpha",1,0.992814364424719,0.798423199256941,1.24139605926458,TRUE,93.84,FALSE,"adaptive",9
"beta",99,1803.94735409273,614.551473661101,4895.2359643631,FALSE,93.84,FALSE,"adaptive",9
"p_hat",0.01,0.000550053891965497,0.000207805667251483,0.00156529215597461,FALSE,93.84,FALSE,"adaptive",9
"n_iter",NA,20000,19981,20000,NA,93.84,FALSE,"adaptive",9
"mu",1000,866.514836294692,550.848911180807,1390.93608292804,TRUE,6.58500000000004,FALSE,"fixed",9
"alpha",1,0.973399212582679,0.79865634230086,1.20287436391481,TRUE,6.58500000000004,FALSE,"fixed",9
"beta",99,78.9495432370168,46.8225569607766,133.062276102138,TRUE,6.58500000000004,FALSE,"fixed",9
"p_hat",0.01,0.012179221419388,0.00753243196611046,0.0188747776132276,TRUE,6.58500000000004,FALSE,"fixed",9
"n_iter",NA,1000,1000,1000,NA,6.58500000000004,FALSE,"fixed",9
"mu",1000,1482.1195815447,2.19104903586912e-07,13110973260655.7,TRUE,41.091,FALSE,"adaptive",10
"alpha",1,0.862591781043481,0.619004118715677,1.22151996345266,TRUE,41.091,FALSE,"adaptive",10
"beta",99,137.464316726241,1.29508270561851e-08,1711990064455.25,TRUE,41.091,FALSE,"adaptive",10
"p_hat",0.01,0.0062358928595448,6.62834074423877e-13,0.999999976891365,TRUE,41.091,FALSE,"adaptive",10
"n_iter",NA,1751,1680,1786,NA,41.091,FALSE,"adaptive",10
"mu",1000,850.502204663469,162.836657099465,4712.09701682254,TRUE,8.33299999999997,FALSE,"fixed",10
"alpha",1,0.855079736943238,0.685324110176176,1.08738285601133,TRUE,8.33299999999997,FALSE,"fixed",10
"beta",99,77.9268836593958,14.4154500823963,446.112233000035,TRUE,8.33299999999997,FALSE,"fixed",10
"p_hat",0.01,0.0108537500219622,0.00200552310192253,0.056141560150948,TRUE,8.33299999999997,FALSE,"fixed",10
"n_iter",NA,1000,1000,1000,NA,8.33299999999997,FALSE,"fixed",10
"mu",1000,141.082522153276,24.1588351511116,678.534558627795,FALSE,1.53100000000006,FALSE,"adaptive",11
"alpha",1,0.878507419245697,0.617169824237035,1.20500116452232,TRUE,1.53100000000006,FALSE,"adaptive",11
"beta",99,11.9219467036469,1.35901262620042,77.2222936911167,FALSE,1.53100000000006,FALSE,"adaptive",11
"p_hat",0.01,0.0686309572153815,0.0144368164777996,0.318058393480172,FALSE,1.53100000000006,FALSE,"adaptive",11
"n_iter",NA,219,170,243,NA,1.53100000000006,FALSE,"adaptive",11
"mu",1000,141.26927324703,25.5548363255754,686.036050624984,FALSE,5.59799999999996,FALSE,"fixed",11
"alpha",1,0.878635506041432,0.628051974438071,1.17120717391608,TRUE,5.59799999999996,FALSE,"fixed",11
"beta",99,11.9398407535181,1.45676526477012,77.6657602806752,FALSE,5.59799999999996,FALSE,"fixed",11
"p_hat",0.01,0.068544457878617,0.0133555584373615,0.308977910619319,FALSE,5.59799999999996,FALSE,"fixed",11
"n_iter",NA,1000,1000,1000,NA,5.59799999999996,FALSE,"fixed",11
"mu",1000,310.326764774884,5.35681910468634,15136.6093406713,TRUE,9.05700000000002,FALSE,"adaptive",12
"alpha",1,0.992333567300417,0.718320562823669,1.36302107911148,TRUE,9.05700000000002,FALSE,"adaptive",12
"beta",99,28.8811982889572,0.333510412871088,2085.16145155703,TRUE,9.05700000000002,FALSE,"adaptive",12
"p_hat",0.01,0.0332178187726589,0.000650499188092895,0.690614260683734,TRUE,9.05700000000002,FALSE,"adaptive",12
"n_iter",NA,428.5,372,455,NA,9.05700000000002,FALSE,"adaptive",12
"mu",1000,310.105119453332,5.29136121618107,27906.2466835764,TRUE,12.2090000000001,FALSE,"fixed",12
"alpha",1,0.992334515569054,0.704973063326357,1.38166261952799,TRUE,12.2090000000001,FALSE,"fixed",12
"beta",99,28.8601562628986,0.321644858526462,3765.71745942056,TRUE,12.2090000000001,FALSE,"fixed",12
"p_hat",0.01,0.0332412636162614,0.000322110515341367,0.708017237663402,TRUE,12.2090000000001,FALSE,"fixed",12
"n_iter",NA,1000,1000,1000,NA,12.2090000000001,FALSE,"fixed",12
"mu",1000,147.087724185496,20.8839623100801,893.313055986262,FALSE,1.69600000000003,FALSE,"adaptive",13
"alpha",1,0.759075501890193,0.531793855099539,1.07250160178355,TRUE,1.69600000000003,FALSE,"adaptive",13
"beta",99,11.0126950415541,1.06922876232641,93.204542933387,FALSE,1.69600000000003,FALSE,"adaptive",13
"p_hat",0.01,0.0644826960471907,0.0102392837697449,0.347375076130085,FALSE,1.69600000000003,FALSE,"adaptive",13
"n_iter",NA,225.5,182,251,NA,1.69600000000003,FALSE,"adaptive",13
"mu",1000,146.872934952072,22.3067291043879,1123.68670631497,TRUE,5.97299999999996,FALSE,"fixed",13
"alpha",1,0.758927956938012,0.522309503122884,1.07865738168123,TRUE,5.97299999999996,FALSE,"fixed",13
"beta",99,10.9934644507408,1.12363367076053,116.738641858007,TRUE,5.97299999999996,FALSE,"fixed",13
"p_hat",0.01,0.0645764649963646,0.00836061186344392,0.329075906419329,TRUE,5.97299999999996,FALSE,"fixed",13
"n_iter",NA,1000,1000,1000,NA,5.97299999999996,FALSE,"fixed",13
"mu",1000,19082.0957148124,1.18620929466775e-07,259185388539753,TRUE,64.992,FALSE,"adaptive",14
"alpha",1,1.03759356269205,0.829053038473648,1.28982493968344,TRUE,64.992,FALSE,"adaptive",14
"beta",99,1866.61008197154,1.14369125420813e-08,27040449638564.9,TRUE,64.992,FALSE,"adaptive",14
"p_hat",0.01,0.000555561724132605,3.97657551680124e-14,0.999999988934885,TRUE,64.992,FALSE,"adaptive",14
"n_iter",NA,20000,19925,20000,NA,64.992,FALSE,"adaptive",14
"mu",1000,854.438227883923,277.94217503807,3169.49995226782,TRUE,8.00900000000001,FALSE,"fixed",14
"alpha",1,1.01828690819849,0.839740465497581,1.25477829436185,TRUE,8.00900000000001,FALSE,"fixed",14
"beta",99,81.2050533083056,24.3045190763101,321.939839726302,TRUE,8.00900000000001,FALSE,"fixed",14
"p_hat",0.01,0.0123844021115807,0.00325675545077518,0.0389326874555963,TRUE,8.00900000000001,FALSE,"fixed",14
"n_iter",NA,1000,1000,1000,NA,8.00900000000001,FALSE,"fixed",14
"mu",1000,251.943527498701,5.61485554497942,10151.2951095164,TRUE,6.82000000000005,FALSE,"adaptive",15
"alpha",1,1.07946730678096,0.758755185854004,1.51771409090057,TRUE,6.82000000000005,FALSE,"adaptive",15
"beta",99,25.7372821098281,0.3659044192125,1551.75910593286,TRUE,6.82000000000005,FALSE,"adaptive",15
"p_hat",0.01,0.0402534733054703,0.000897420990038168,0.684577850588671,TRUE,6.82000000000005,FALSE,"adaptive",15
"n_iter",NA,358.5,310,383,NA,6.82000000000005,FALSE,"adaptive",15
"mu",1000,252.276799598639,3.78036936246434,9898.87029662712,TRUE,9.51100000000008,FALSE,"fixed",15
"alpha",1,1.07957286646621,0.773430936874127,1.54405711699996,TRUE,9.51100000000008,FALSE,"fixed",15
"beta",99,25.7749738461543,0.248653606048366,1450.26907697688,TRUE,9.51100000000008,FALSE,"fixed",15
"p_hat",0.01,0.0402007480527999,0.00097454182335768,0.765964703286611,TRUE,9.51100000000008,FALSE,"fixed",15
"n_iter",NA,1000,1000,1000,NA,9.51100000000008,FALSE,"fixed",15
"mu",1000,912.97712672644,3.97055408492253e-05,31152485368.1179,TRUE,33.187,FALSE,"adaptive",16
"alpha",1,0.894636487060458,0.626690988163817,1.3281260201583,TRUE,33.187,FALSE,"adaptive",16
"beta",99,87.0908454135474,2.60490355311331e-06,5042782371.03094,TRUE,33.187,FALSE,"adaptive",16
"p_hat",0.01,0.0101680012171903,2.78368145127634e-10,0.999996250894434,TRUE,33.187,FALSE,"adaptive",16
"n_iter",NA,1123.5,1052,1154,NA,33.187,FALSE,"adaptive",16
"mu",1000,838.808017555668,12.0456461891995,57332.2198466459,TRUE,18.859,FALSE,"fixed",16
"alpha",1,0.89307754031997,0.708362731003714,1.10589499197087,TRUE,18.859,FALSE,"fixed",16
"beta",99,79.8169801164817,0.889099272349503,6153.09603119264,TRUE,18.859,FALSE,"fixed",16
"p_hat",0.01,0.0110652571221984,0.000156932961056593,0.456190673163295,TRUE,18.859,FALSE,"fixed",16
"n_iter",NA,1000,1000,1000,NA,18.859,FALSE,"fixed",16
"mu",1000,19234.6499491337,7886.53915885636,41090.4056876165,FALSE,88.7329999999999,FALSE,"adaptive",17
"alpha",1,1.147117456744,0.955324485567586,1.42663024248074,TRUE,88.7329999999999,FALSE,"adaptive",17
"beta",99,2174.15841255703,871.280110647812,4808.52843517807,FALSE,88.7329999999999,FALSE,"adaptive",17
"p_hat",0.01,0.000527336248134642,0.000244907112820834,0.00130013696686381,FALSE,88.7329999999999,FALSE,"adaptive",17
"n_iter",NA,20000,20000,20000,NA,88.7329999999999,FALSE,"adaptive",17
"mu",1000,865.952845507572,525.87531571386,1386.92083392959,TRUE,6.553,FALSE,"fixed",17
"alpha",1,1.12698501651232,0.927683246238932,1.3595589035195,TRUE,6.553,FALSE,"fixed",17
"beta",99,95.2214712519639,54.3572782519188,161.386547326518,TRUE,6.553,FALSE,"fixed",17
"p_hat",0.01,0.01169697014524,0.00746961447073876,0.0190228830022505,TRUE,6.553,FALSE,"fixed",17
"n_iter",NA,1000,1000,1000,NA,6.553,FALSE,"fixed",17
"mu",1000,70.8631764159896,40.7481369896178,129.237877860893,FALSE,0.798000000000002,FALSE,"adaptive",18
"alpha",1,0.806920930872505,0.59454000862862,1.10181041999017,TRUE,0.798000000000002,FALSE,"adaptive",18
"beta",99,4.99402641205713,2.12751547248745,12.1323627913405,FALSE,0.798000000000002,FALSE,"adaptive",18
"p_hat",0.01,0.139101578271694,0.0759775356090673,0.237153503088737,FALSE,0.798000000000002,FALSE,"adaptive",18
"n_iter",NA,123,90,146,NA,0.798000000000002,FALSE,"adaptive",18
"mu",1000,70.846167472729,39.361013796718,123.758664781699,FALSE,5.61799999999994,FALSE,"fixed",18
"alpha",1,0.806803254128627,0.603926222140957,1.0806746789964,TRUE,5.61799999999994,FALSE,"fixed",18
"beta",99,4.99212112891833,2.15894697344787,11.4361809415905,FALSE,5.61799999999994,FALSE,"fixed",18
"p_hat",0.01,0.139129811122783,0.0774173889563412,0.233834808381748,FALSE,5.61799999999994,FALSE,"fixed",18
"n_iter",NA,1000,1000,1000,NA,5.61799999999994,FALSE,"fixed",18
"mu",1000,19221.750116905,6898.07655828727,60037.3834583498,FALSE,91.3539999999999,FALSE,"adaptive",19
"alpha",1,1.09966205393091,0.908278992709388,1.3147768171291,TRUE,91.3539999999999,FALSE,"adaptive",19
"beta",99,2163.03187588492,784.004278388872,7033.92557256288,FALSE,91.3539999999999,FALSE,"adaptive",19
"p_hat",0.01,0.000508130875897794,0.000166073004289757,0.00142440312401201,FALSE,91.3539999999999,FALSE,"adaptive",19
"n_iter",NA,20000,20000,20000,NA,91.3539999999999,FALSE,"adaptive",19
"mu",1000,863.948622035794,502.013652657856,1596.32024094047,TRUE,6.48399999999992,FALSE,"fixed",19
"alpha",1,1.08061985422015,0.865253816020853,1.34497337048175,TRUE,6.48399999999992,FALSE,"fixed",19
"beta",99,94.6500350596629,53.4462344239859,182.89540930963,TRUE,6.48399999999992,FALSE,"fixed",19
"p_hat",0.01,0.0112881276660256,0.00601003379491982,0.0190120030767105,TRUE,6.48399999999992,FALSE,"fixed",19
"n_iter",NA,1000,1000,1000,NA,6.48399999999992,FALSE,"fixed",19
"mu",1000,84.1029296387155,44.1678809828608,175.700896480846,FALSE,0.883000000000038,FALSE,"adaptive",20
"alpha",1,0.769593558448946,0.554630745415893,1.05653437636541,TRUE,0.883000000000038,FALSE,"adaptive",20
"beta",99,5.5598836375357,2.11060930281103,16.3287596580347,FALSE,0.883000000000038,FALSE,"adaptive",20
"p_hat",0.01,0.12158880340657,0.056935070486928,0.232972152876704,FALSE,0.883000000000038,FALSE,"adaptive",20
"n_iter",NA,142,105,165,NA,0.883000000000038,FALSE,"adaptive",20
"mu",1000,84.1030187199652,37.9102934430405,169.359470132787,FALSE,5.48099999999999,FALSE,"fixed",20
"alpha",1,0.769594261614564,0.565840108767167,1.03792840776964,TRUE,5.48099999999999,FALSE,"fixed",20
"beta",99,5.55986887143848,1.81535988973528,15.5851247906207,FALSE,5.48099999999999,FALSE,"fixed",20
"p_hat",0.01,0.121589184649117,0.0584742496650764,0.253956559387052,FALSE,5.48099999999999,FALSE,"fixed",20
"n_iter",NA,1000,1000,1000,NA,5.48099999999999,FALSE,"fixed",20
"mu",1000,116.863714647789,30.1229986439344,463.859049911666,FALSE,1.30100000000016,FALSE,"adaptive",21
"alpha",1,0.878626940149979,0.616570225248914,1.22980871283719,TRUE,1.30100000000016,FALSE,"adaptive",21
"beta",99,9.15952733567937,1.59243105010647,51.4923166680399,FALSE,1.30100000000016,FALSE,"adaptive",21
"p_hat",0.01,0.0875287344672124,0.0212458327474368,0.295334844910667,FALSE,1.30100000000016,FALSE,"adaptive",21
"n_iter",NA,186,145,210,NA,1.30100000000016,FALSE,"adaptive",21
"mu",1000,116.800575719191,32.1043014372569,378.586439366125,FALSE,6.04199999999992,FALSE,"fixed",21
"alpha",1,0.878540936516447,0.63048749483274,1.17829188702926,TRUE,6.04199999999992,FALSE,"fixed",21
"beta",99,9.15337190548062,1.79852935376691,41.6493745602614,FALSE,6.04199999999992,FALSE,"fixed",21
"p_hat",0.01,0.0875746181564267,0.0255540103743743,0.274568225355141,FALSE,6.04199999999992,FALSE,"fixed",21
"n_iter",NA,1000,1000,1000,NA,6.04199999999992,FALSE,"fixed",21
"mu",1000,210.07675364435,12.9842900508973,2709.81581938958,TRUE,3.21000000000004,FALSE,"adaptive",22
"alpha",1,0.928646222098682,0.677902796518848,1.23266142818486,TRUE,3.21000000000004,FALSE,"adaptive",22
"beta",99,18.6352162422603,0.797021496533261,306.372264956338,TRUE,3.21000000000004,FALSE,"adaptive",22
"p_hat",0.01,0.0474674274464191,0.00349134082940275,0.479583269145345,TRUE,3.21000000000004,FALSE,"adaptive",22
"n_iter",NA,306,257,331,NA,3.21000000000004,FALSE,"adaptive",22
"mu",1000,209.968202150872,16.9585180392658,3208.95231891753,TRUE,6.73400000000015,FALSE,"fixed",22
"alpha",1,0.928613206265387,0.693254505388755,1.31164202181097,TRUE,6.73400000000015,FALSE,"fixed",22
"beta",99,18.6245594773129,1.05245796385178,396.515284899199,TRUE,6.73400000000015,FALSE,"fixed",22
"p_hat",0.01,0.0474916895223496,0.00310973249134542,0.407992749784861,TRUE,6.73400000000015,FALSE,"fixed",22
"n_iter",NA,1000,1000,1000,NA,6.73400000000015,FALSE,"fixed",22
"mu",1000,1745.0361765185,3.22830811325181e-07,419322837730056,TRUE,39.0599999999999,FALSE,"adaptive",23
"alpha",1,1.12561059765567,0.848021626574256,1.56211212768634,TRUE,39.0599999999999,FALSE,"adaptive",23
"beta",99,188.558285166309,2.37916509476828e-08,71580644234182.1,TRUE,39.0599999999999,FALSE,"adaptive",23
"p_hat",0.01,0.00593413896905796,2.25123103686672e-14,0.999999971271309,TRUE,39.0599999999999,FALSE,"adaptive",23
"n_iter",NA,2041,1959,2071,NA,39.0599999999999,FALSE,"adaptive",23
"mu",1000,852.960796042269,229.075397898836,3960.48272413427,TRUE,7.53600000000006,FALSE,"fixed",23
"alpha",1,1.11476125887633,0.913881553984987,1.34414972279507,TRUE,7.53600000000006,FALSE,"fixed",23
"beta",99,90.7843603064684,23.3829807060134,452.088875505081,TRUE,7.53600000000006,FALSE,"fixed",23
"p_hat",0.01,0.0121302711047535,0.00262725002929647,0.04205250673851,TRUE,7.53600000000006,FALSE,"fixed",23
"n_iter",NA,1000,1000,1000,NA,7.53600000000006,FALSE,"fixed",23
"mu",1000,1249.60489055612,5.12773120803056e-05,452327123173.75,TRUE,35.1180000000002,FALSE,"adaptive",24
"alpha",1,1.15275475168651,0.869702204213523,1.61302597803431,TRUE,35.1180000000002,FALSE,"adaptive",24
"beta",99,138.127035177297,3.82669679253849e-06,78742022867.4687,TRUE,35.1180000000002,FALSE,"adaptive",24
"p_hat",0.01,0.00827653999388054,2.01540748553134e-11,0.99999559534142,TRUE,35.1180000000002,FALSE,"adaptive",24
"n_iter",NA,1500,1417,1527,NA,35.1180000000002,FALSE,"adaptive",24
"mu",1000,850.148679354806,137.817839183519,4913.47030973198,TRUE,7.93599999999992,FALSE,"fixed",24
"alpha",1,1.14583261089229,0.93269263816608,1.41295717970502,TRUE,7.93599999999992,FALSE,"fixed",24
"beta",99,93.0898205534417,12.7728081763051,623.699717758765,TRUE,7.93599999999992,FALSE,"fixed",24
"p_hat",0.01,0.0121592260722608,0.00209200461574592,0.0727094892786749,TRUE,7.93599999999992,FALSE,"fixed",24
"n_iter",NA,1000,1000,1000,NA,7.93599999999992,FALSE,"fixed",24
"mu",1000,158.614988839154,21.8783543848773,1397.13126548682,TRUE,2.06799999999998,FALSE,"adaptive",25
"alpha",1,1.06431473011399,0.76574081489798,1.48547704650776,TRUE,2.06799999999998,FALSE,"adaptive",25
"beta",99,15.2621454745162,1.44891158115651,197.193113997985,TRUE,2.06799999999998,FALSE,"adaptive",25
"p_hat",0.01,0.0651895583472618,0.00673250891140679,0.35437632530847,TRUE,2.06799999999998,FALSE,"adaptive",25
"n_iter",NA,241.5,205,265,NA,2.06799999999998,FALSE,"adaptive",25
"mu",1000,158.890800973228,21.302384397462,1273.57195623475,TRUE,5.78700000000003,FALSE,"fixed",25
"alpha",1,1.06451982018056,0.786485916364918,1.42005349589013,TRUE,5.78700000000003,FALSE,"fixed",25
"beta",99,15.2933873560983,1.26262816574981,159.968309202808,TRUE,5.78700000000003,FALSE,"fixed",25
"p_hat",0.01,0.0650767734960778,0.00755061154045734,0.382245770276925,TRUE,5.78700000000003,FALSE,"fixed",25
"n_iter",NA,1000,1000,1000,NA,5.78700000000003,FALSE,"fixed",25
"mu",1000,19223.997608554,6722.89675913452,55193.6669732353,FALSE,82.4860000000001,FALSE,"adaptive",26
"alpha",1,1.07944215890463,0.896295013718422,1.33491172427757,TRUE,82.4860000000001,FALSE,"adaptive",26
"beta",99,2087.71644952702,704.999617002572,6304.72049674667,FALSE,82.4860000000001,FALSE,"adaptive",26
"p_hat",0.01,0.000516777231897648,0.000183397418106293,0.00143836857160512,FALSE,82.4860000000001,FALSE,"adaptive",26
"n_iter",NA,20000,20000,20000,NA,82.4860000000001,FALSE,"adaptive",26
"mu",1000,865.251252367747,505.836366751232,1412.48343471388,TRUE,6.40000000000009,FALSE,"fixed",26
"alpha",1,1.06035488458561,0.877992807237372,1.31550984819336,TRUE,6.40000000000009,FALSE,"fixed",26
"beta",99,91.4325574570363,50.7947824821458,156.516088944047,TRUE,6.40000000000009,FALSE,"fixed",26
"p_hat",0.01,0.0114641744728417,0.00708181784872097,0.0196838404466185,TRUE,6.40000000000009,FALSE,"fixed",26
"n_iter",NA,1000,1000,1000,NA,6.40000000000009,FALSE,"fixed",26
"mu",1000,19211.0706490666,4926.20053294382,74693.3375296662,FALSE,82.002,FALSE,"adaptive",27
"alpha",1,0.823048588450602,0.662422119483052,1.03082704725582,TRUE,82.002,FALSE,"adaptive",27
