"parameter","true","point","lwr","upr","covers","time","fail","method","replicate"
"n_iter",NA,95,62,118,NA,0.645999999999958,FALSE,"adaptive",5
"mu",100,52.3309395044298,36.3832377805451,73.5844108567585,FALSE,5.351,FALSE,"fixed",5
"alpha",1,0.698399139981932,0.508380990419333,0.939351264463679,FALSE,5.351,FALSE,"fixed",5
"beta",9,2.99588380695243,1.55877352497944,5.5919119296197,FALSE,5.351,FALSE,"fixed",5
"p_hat",0.1,0.189048632715447,0.136892231911024,0.256120215828249,FALSE,5.351,FALSE,"fixed",5
"n_iter",NA,1000,1000,1000,NA,5.351,FALSE,"fixed",5
"mu",100,81.4835589967377,24.5427452637291,312.848868646494,TRUE,0.850000000000023,FALSE,"adaptive",6
"alpha",1,1.27412151652008,0.909468189343931,1.77372199778151,TRUE,0.850000000000023,FALSE,"adaptive",6
"beta",9,9.77676929853143,1.90982574235858,59.3962134173587,TRUE,0.850000000000023,FALSE,"adaptive",6
"p_hat",0.1,0.115295819843293,0.0277951791853943,0.329027552762972,TRUE,0.850000000000023,FALSE,"adaptive",6
"n_iter",NA,141,114,160,NA,0.850000000000023,FALSE,"adaptive",6
"mu",100,81.4829075998693,21.7038402533171,254.253820060379,TRUE,5.02799999999996,FALSE,"fixed",6
"alpha",1,1.27411644675322,0.897719020225178,1.73685996532141,TRUE,5.02799999999996,FALSE,"fixed",6
"beta",9,9.77662259807636,1.72608678384116,45.2322842372424,TRUE,5.02799999999996,FALSE,"fixed",6
"p_hat",0.1,0.115296944537782,0.0358230406266746,0.359249813864663,TRUE,5.02799999999996,FALSE,"fixed",6
"n_iter",NA,1000,1000,1000,NA,5.02799999999996,FALSE,"fixed",6
"mu",100,70.4065966130524,41.8643713287362,122.827059715587,TRUE,0.811999999999955,FALSE,"adaptive",7
"alpha",1,0.600860725263388,0.417465619532825,0.828890213170681,FALSE,0.811999999999955,FALSE,"adaptive",7
"beta",9,4.37864299948237,2.00134713376243,9.89739450455695,TRUE,0.811999999999955,FALSE,"adaptive",7
"p_hat",0.1,0.120666788996943,0.0676113311837763,0.193543349231235,TRUE,0.811999999999955,FALSE,"adaptive",7
"n_iter",NA,121,79,146,NA,0.811999999999955,FALSE,"adaptive",7
"mu",100,70.3985480586467,43.7150070610349,117.658569594691,TRUE,5.71200000000005,FALSE,"fixed",7
"alpha",1,0.600787656018345,0.445642268625511,0.851298709902025,FALSE,5.71200000000005,FALSE,"fixed",7
"beta",9,4.37772912998693,2.18562429215176,9.82660174330201,TRUE,5.71200000000005,FALSE,"fixed",7
"p_hat",0.1,0.120676033011915,0.0749953843244201,0.187935008115639,TRUE,5.71200000000005,FALSE,"fixed",7
"n_iter",NA,1000,1000,1000,NA,5.71200000000005,FALSE,"fixed",7
"mu",100,107.430009157941,32.8824816533215,401.340371000989,TRUE,1.20099999999996,FALSE,"adaptive",8
"alpha",1,0.908868103756111,0.645812558201445,1.2662729671906,TRUE,1.20099999999996,FALSE,"adaptive",8
"beta",9,8.84926782488328,1.99713625250118,45.8397175310237,TRUE,1.20099999999996,FALSE,"adaptive",8
"p_hat",0.1,0.0931395207448025,0.0261705149419171,0.267710113709915,TRUE,1.20099999999996,FALSE,"adaptive",8
"n_iter",NA,173.5,139,197,NA,1.20099999999996,FALSE,"adaptive",8
"mu",100,107.378132789167,27.5054993744831,369.476688821381,TRUE,5.90500000000003,FALSE,"fixed",8
"alpha",1,0.908817595458061,0.662669356815759,1.26469188229746,TRUE,5.90500000000003,FALSE,"fixed",8
"beta",9,8.84416217361884,1.42553835303248,44.9738500243607,TRUE,5.90500000000003,FALSE,"fixed",8
"p_hat",0.1,0.0931835825538761,0.0255795303505581,0.309936791547011,TRUE,5.90500000000003,FALSE,"fixed",8
"n_iter",NA,1000,1000,1000,NA,5.90500000000003,FALSE,"fixed",8
"mu",100,90.2659922414297,32.659716372108,236.404159988015,TRUE,0.91799999999995,FALSE,"adaptive",9
"alpha",1,0.994378032009821,0.71889910409192,1.33920517641907,TRUE,0.91799999999995,FALSE,"adaptive",9
"beta",9,8.39443156069351,2.06790239699925,30.4645491490775,TRUE,0.91799999999995,FALSE,"adaptive",9
"p_hat",0.1,0.105910980746975,0.0402445920644955,0.26363616928811,TRUE,0.91799999999995,FALSE,"adaptive",9
"n_iter",NA,152,113,173,NA,0.91799999999995,FALSE,"adaptive",9
"mu",100,90.2007225114932,33.6232356936596,244.276136388008,TRUE,5.375,FALSE,"fixed",9
"alpha",1,0.994179402761852,0.742151742560734,1.31074913825537,TRUE,5.375,FALSE,"fixed",9
"beta",9,8.38687303179031,2.37737134327095,30.8689693586504,TRUE,5.375,FALSE,"fixed",9
"p_hat",0.1,0.10597738470154,0.0376687173810942,0.26153954183218,TRUE,5.375,FALSE,"fixed",9
"n_iter",NA,1000,1000,1000,NA,5.375,FALSE,"fixed",9
"mu",100,72.0227027977173,33.9414864310914,159.578690080846,TRUE,0.783999999999992,FALSE,"adaptive",10
"alpha",1,0.893936445584434,0.654868370428377,1.23003084914199,TRUE,0.783999999999992,FALSE,"adaptive",10
"beta",9,5.88702137989641,2.02716793648881,18.997001826417,TRUE,0.783999999999992,FALSE,"adaptive",10
"p_hat",0.1,0.131830409300775,0.0585638152333919,0.265240281234081,TRUE,0.783999999999992,FALSE,"adaptive",10
"n_iter",NA,126,95,147,NA,0.783999999999992,FALSE,"adaptive",10
"mu",100,71.9998721121494,35.3909623576802,154.136102892139,TRUE,5.46499999999997,FALSE,"fixed",10
"alpha",1,0.89381609067765,0.675999629715358,1.2301687740516,TRUE,5.46499999999997,FALSE,"fixed",10
"beta",9,5.88419479978684,2.08217954511513,17.9719529946739,TRUE,5.46499999999997,FALSE,"fixed",10
"p_hat",0.1,0.131869969689057,0.061429522535139,0.25363712240182,TRUE,5.46499999999997,FALSE,"fixed",10
"n_iter",NA,1000,1000,1000,NA,5.46499999999997,FALSE,"fixed",10
"mu",100,77.3739113189024,34.0942365044396,188.375681399026,TRUE,0.871000000000038,FALSE,"adaptive",11
"alpha",1,1.09304534139285,0.809780398667151,1.51146685990406,TRUE,0.871000000000038,FALSE,"adaptive",11
"beta",9,6.77034537437791,2.0814431792108,23.6830399328846,TRUE,0.871000000000038,FALSE,"adaptive",11
"p_hat",0.1,0.139004327891357,0.054745815806221,0.29377551924205,TRUE,0.871000000000038,FALSE,"adaptive",11
"n_iter",NA,131.5,106,154,NA,0.871000000000038,FALSE,"adaptive",11
"mu",100,77.3790415565631,31.7147691271228,189.122293327649,TRUE,5.988,FALSE,"fixed",11
"alpha",1,1.09311119023591,0.802409819355039,1.55307986162424,TRUE,5.988,FALSE,"fixed",11
"beta",9,6.77120726680404,1.76413348399138,26.4656508213209,TRUE,5.988,FALSE,"fixed",11
"p_hat",0.1,0.13899630288463,0.0554432766540108,0.310579748436143,TRUE,5.988,FALSE,"fixed",11
"n_iter",NA,1000,1000,1000,NA,5.988,FALSE,"fixed",11
"mu",100,508.448360141521,0.186055493386984,1096507.04170203,TRUE,25.563,FALSE,"adaptive",12
"alpha",1,1.07499440431911,0.766072749647732,1.43724869975623,TRUE,25.563,FALSE,"adaptive",12
"beta",9,54.3144817418056,0.0139782815654979,200115.500855927,TRUE,25.563,FALSE,"adaptive",12
"p_hat",0.1,0.0194079178774527,8.18829359763361e-06,0.984089860354963,TRUE,25.563,FALSE,"adaptive",12
"n_iter",NA,662.5,621,690,NA,25.563,FALSE,"adaptive",12
"mu",100,509.49559990063,0.221966067942458,728307.362845948,TRUE,25.737,FALSE,"fixed",12
"alpha",1,1.07508383257238,0.778185368636049,1.44515169292962,TRUE,25.737,FALSE,"fixed",12
"beta",9,54.4310279030928,0.0158802639565437,108111.439894346,TRUE,25.737,FALSE,"fixed",12
"p_hat",0.1,0.0193687469533483,1.26412142929223e-05,0.980664407011043,TRUE,25.737,FALSE,"fixed",12
"n_iter",NA,1000,1000,1000,NA,25.737,FALSE,"fixed",12
"mu",100,334.278232747344,2.91037058085226,38222.0216840292,TRUE,13.651,FALSE,"adaptive",13
"alpha",1,1.20949646510581,0.875553659491604,1.6691680586371,TRUE,13.651,FALSE,"adaptive",13
"beta",9,36.6284317780045,0.217952580732349,6234.63850963649,TRUE,13.651,FALSE,"adaptive",13
"p_hat",0.1,0.0319651873468005,0.000244959198260425,0.821561482764742,TRUE,13.651,FALSE,"adaptive",13
"n_iter",NA,460.5,407,483,NA,13.651,FALSE,"adaptive",13
"mu",100,334.170951593217,1.68487315938437,76929.3521489211,TRUE,16.39,FALSE,"fixed",13
"alpha",1,1.20947016211029,0.88094556510372,1.73179706327728,TRUE,16.39,FALSE,"fixed",13
"beta",9,36.6154850887599,0.11561593995022,11546.6150607051,TRUE,16.39,FALSE,"fixed",13
"p_hat",0.1,0.0319754552011655,0.000122956562360481,0.884836285790764,TRUE,16.39,FALSE,"fixed",13
"n_iter",NA,1000,1000,1000,NA,16.39,FALSE,"fixed",13
"mu",100,2881.36297127701,2.58752721730883e-19,7.28575629693032e+22,TRUE,31.508,FALSE,"adaptive",14
"alpha",1,1.25687863094079,0.891056662340391,1.69816315602187,TRUE,31.508,FALSE,"adaptive",14
"beta",9,345.056225914909,1.89387477715309e-20,1.15419551248312e+22,TRUE,31.508,FALSE,"adaptive",14
"p_hat",0.1,0.00362931293803923,1.55188582631056e-22,1,TRUE,31.508,FALSE,"adaptive",14
"n_iter",NA,3265,3196,3295,NA,31.508,FALSE,"adaptive",14
"mu",100,853.770778768391,247.033100318587,3119.19252204706,FALSE,7.34699999999998,FALSE,"fixed",14
