"parameter","true","point","lwr","upr","lwr_exact","upr_exact","time","implementation","method","replicate"
"mu",15,20.7173157656457,14.0699620146218,30.5052118895155,12.701258952524,28.7333725787675,0.439,"Full","Adaptive",4
"beta",0.1,0.121947664150485,0.0828195618408188,0.17956183854658,0.0747630078351486,0.169132320465822,0.439,"Full","Adaptive",4
"mu",15,14.5846152428134,9.92833135139472,21.424647733078,8.97682284071521,20.1924076449117,1.566,"Bessel","Fixed",5
"beta",0.1,0.0961144305146784,0.0654291052508634,0.141190739468947,0.0591581349741952,0.133070726055162,1.566,"Bessel","Fixed",5
"mu",15,14.5846466102631,9.92835711157511,21.4246843013198,8.9768419233843,20.192451297142,1.106,"Bessel","Adaptive",5
"beta",0.1,0.0961145853518539,0.0654292263541401,0.14119093304508,0.0591582288070221,0.133070941896686,1.106,"Bessel","Adaptive",5
"mu",15,14.5846466102732,9.9283571115803,21.4246843013383,8.97684192338941,20.1924512971571,1.218,"Full","Fixed",5
"beta",0.1,0.0961145853519182,0.0654292263541759,0.141190933045192,0.0591582288070544,0.133070941896782,1.218,"Full","Fixed",5
"mu",15,14.5846285483497,9.92834226217739,21.4246632797576,8.97683093432818,20.1924261623712,0.422999999999995,"Full","Adaptive",5
"beta",0.1,0.0961144977924581,0.0654291580129308,0.14119082327287,0.0591581757542241,0.133070819830692,0.422999999999995,"Full","Adaptive",5
"mu",15,14.9619716803858,10.1827367191051,21.9843253086031,9.20514569957351,20.718797661198,1.583,"Bessel","Fixed",6
"beta",0.1,0.0930680401863649,0.0633398508906383,0.136748981602213,0.0572586544821972,0.128877425890532,1.583,"Bessel","Fixed",6
"mu",15,14.9619715642247,10.1827366406698,21.9843251365817,9.20514562983579,20.7187974986137,1.118,"Bessel","Adaptive",6
"beta",0.1,0.093068038068847,0.0633398490943799,0.13674897925756,0.0572586531901615,0.128877422947532,1.118,"Bessel","Adaptive",6
"mu",15,14.9619715642754,10.1827366407075,21.9843251366495,9.20514562986286,20.718797498688,1.286,"Full","Fixed",6
"beta",0.1,0.0930680380691635,0.0633398490946138,0.136748979257985,0.0572586531903306,0.128877422947996,1.286,"Full","Fixed",6
"mu",15,14.9619614375751,10.1827282891516,21.9843134082228,9.20513946635409,20.7187834087961,0.466000000000001,"Full","Adaptive",6
"beta",0.1,0.0930679941134267,0.0633398150002635,0.136748923694532,0.05725862656123,0.128877361665623,0.466000000000001,"Full","Adaptive",6
"mu",15,14.0739879814339,9.58239473753172,20.6709432377826,8.66554008465966,19.4824358782081,2.036,"Bessel","Fixed",7
"beta",0.1,0.0907544791635862,0.0617912098256481,0.13329364340808,0.0558783581509721,0.1256306001762,2.036,"Bessel","Fixed",7
"mu",15,14.073980327726,9.58238865370556,20.6709338791659,8.66553544161663,19.4824252138353,0.983000000000004,"Bessel","Adaptive",7
"beta",0.1,0.09075442272985,0.0617911639574024,0.133293576581699,0.0558783238493747,0.125630521610325,0.983000000000004,"Bessel","Adaptive",7
"mu",15,14.073980327727,9.58238865370694,20.670933879166,8.6655354416238,19.4824252138302,1.02699999999999,"Full","Fixed",7
"beta",0.1,0.0907544227298494,0.0617911639574058,0.13329357658169,0.0558783238494166,0.125630521610282,1.02699999999999,"Full","Fixed",7
"mu",15,14.0739848450869,9.58239189486144,20.6709401570138,8.66553816156913,19.4824315286046,0.549999999999997,"Full","Adaptive",7
"beta",0.1,0.0907544897438757,0.0617912203826714,0.133293651714007,0.0558783647159183,0.125630614771833,0.549999999999997,"Full","Adaptive",7
"mu",15,15.2740953911956,10.3945630606837,22.4442324951366,9.39608585200554,21.1521049303857,1.626,"Bessel","Fixed",8
"beta",0.1,0.101846356093557,0.0693101272871398,0.149656055406787,0.0626521565186028,0.141040555668512,1.626,"Bessel","Fixed",8
"mu",15,15.2739902736007,10.3944778401379,22.4441075796216,9.3960219487692,21.1519585984322,0.889000000000003,"Bessel","Adaptive",8
"beta",0.1,0.101845720236372,0.069309620076971,0.149655281892272,0.0626517704261526,0.141039670046592,0.889000000000003,"Bessel","Adaptive",8
"mu",15,15.2739902736144,10.3944778401354,22.4441075796673,9.39602194877487,21.1519585984539,0.989000000000004,"Full","Fixed",8
"beta",0.1,0.101845720236466,0.0693096200769513,0.149655281892592,0.0626517704261923,0.141039670046741,0.989000000000004,"Full","Fixed",8
"mu",15,15.2739852036972,10.3944736538357,22.4441017190583,9.39601886250282,21.1519515448915,0.486000000000004,"Full","Adaptive",8
"beta",0.1,0.101845697153727,0.0693096022217616,0.149655252609025,0.0626517564430206,0.141039637864434,0.486000000000004,"Full","Adaptive",8
"mu",15,17.2857887433948,11.7521321870241,25.4250452365731,10.6162145277704,23.9553629590191,1.472,"Bessel","Fixed",9
"beta",0.1,0.117059472295393,0.0795855306411134,0.17217853476241,0.0718930489827713,0.162225895608014,1.472,"Bessel","Fixed",9
"mu",15,17.2858178292573,11.7521558625863,25.4250795785915,10.6162322197541,23.9554034387604,0.881,"Bessel","Adaptive",9
"beta",0.1,0.117059642387453,0.0795856657529284,0.172178742820582,0.0718931522865155,0.16222613248839,0.881,"Bessel","Adaptive",9
"mu",15,17.2858178291903,11.7521558624985,25.4250795785845,10.6162322196959,23.9554034386847,1.032,"Full","Fixed",9
"beta",0.1,0.117059642387002,0.0795856657523364,0.172178742820537,0.071893152286123,0.162226132487881,1.032,"Full","Fixed",9
"mu",15,17.2857909523808,11.7521339685327,25.4250478806204,10.6162158706456,23.955366034116,0.430999999999997,"Full","Adaptive",9
"beta",0.1,0.117059486895868,0.0795855423688464,0.17217855234078,0.0718930578564219,0.162225915935313,0.430999999999997,"Full","Adaptive",9
"mu",15,23.2799266632944,15.8008619075085,34.2990773934193,14.2583669348615,32.3014863917273,1.536,"Bessel","Fixed",10
"beta",0.1,0.158872242768048,0.10783190751334,0.234071622251765,0.0973052348211774,0.220439250714919,1.536,"Bessel","Fixed",10
"mu",15,23.279862504582,15.8008110651861,34.2989987030682,14.2583279586804,32.3013970504836,1.051,"Bessel","Adaptive",10
"beta",0.1,0.15887171743974,0.107831478409498,0.234071005744732,0.0973049152506397,0.22043851962884,1.051,"Bessel","Adaptive",10
"mu",15,23.279862504642,15.8008110652001,34.2989987032147,14.2583279587362,32.3013970505479,1.033,"Full","Fixed",10
