"parameter","true","point","lwr","upr","lwr_exact","upr_exact","time","implementation","method","replicate"
"mu",1500,902.810337520164,NA,NA,549.013287344226,1256.6073876961,3.087,"Bessel","Fixed",2
"beta",0.1,0.0602949684030156,NA,NA,0.0366663267327912,0.08392361007324,3.087,"Bessel","Fixed",2
"mu",1500,1070.63560451596,723.428536165062,1584.48352581397,651.052164106796,1490.21904492513,8.285,"Bessel","Adaptive",2
"beta",0.1,0.0715033366309857,0.0483148082345011,0.10582112060859,0.0434810890447703,0.0995255842172012,8.285,"Bessel","Adaptive",2
"mu",1500,901.949346823245,NA,NA,548.489852678876,1255.40884096761,3.476,"Full","Fixed",2
"beta",0.1,0.0602375334644267,NA,NA,0.0366314094821525,0.0838436574467009,3.476,"Full","Fixed",2
"mu",1500,1070.63561103517,517.086300105129,2216.7684802007,651.052221416219,1490.21900065412,2.55,"Full","Adaptive",2
"beta",0.1,0.0715033379012849,0.0345284194532868,0.148073019616269,0.0434810933799369,0.0995255824226328,2.55,"Full","Adaptive",2
"mu",1500,917.802564075139,843.706659622534,998.405710107545,558.128723767281,1277.476404383,5.182,"Bessel","Fixed",6
"beta",0.1,0.0609236086548933,0.0560101781640066,0.066268064362627,0.0370485083359051,0.0847987089738815,5.182,"Bessel","Fixed",6
"mu",1500,1263.14517439541,853.479170762766,1869.4489405904,768.099539505722,1758.19080928511,8.158,"Bessel","Adaptive",6
"beta",0.1,0.0838474170170373,0.0566538401404852,0.124093782927964,0.0509863503459578,0.116708483688117,8.158,"Bessel","Adaptive",6
"mu",1500,916.886889477477,843.104980709085,997.125609895741,557.571960766856,1276.2018181881,2.872,"Full","Fixed",6
"beta",0.1,0.0608628423992377,0.0559702183622202,0.0661831540649274,0.0370115602740557,0.0847141245244198,2.872,"Full","Fixed",6
"mu",1500,1263.14548201481,853.714489444641,1868.93455418843,768.099729523868,1758.19123450575,2.653,"Full","Adaptive",6
"beta",0.1,0.0838474349317398,0.056667918925039,0.124063005629909,0.0509863614360649,0.116708508427415,2.653,"Full","Adaptive",6
"mu",1500,914.892693815303,814.554245812751,1027.59103583267,556.359418691032,1273.42596893957,4.142,"Bessel","Fixed",7
"beta",0.1,0.0606317718339515,0.0539893691274979,0.0680914004948428,0.0368710533593512,0.0843924903085519,4.142,"Bessel","Fixed",7
"mu",1500,1230.52433735099,831.44336216948,1821.15849823148,748.265708949602,1712.78296575238,8.933,"Bessel","Adaptive",7
"beta",0.1,0.08154936803444,0.0551014436693061,0.120691927179415,0.0495891010315523,0.113509635037328,8.933,"Bessel","Adaptive",7
"mu",1500,913.975702094024,814.208467998989,1025.96769359478,555.801902321987,1272.14950186606,2.729,"Full","Fixed",7
"beta",0.1,0.0605710719377067,0.0539664698440045,0.0679839679395009,0.0368341487979688,0.0843079950774446,2.729,"Full","Fixed",7
"mu",1500,1230.5174672732,644.282331192696,2350.17035848461,748.261442622344,1712.77349192405,2.836,"Full","Adaptive",7
"beta",0.1,0.0815489535012166,0.0426920525207574,0.155772126765519,0.0495888430794744,0.113509063922959,2.836,"Full","Adaptive",7
"mu",1500,926.220364132011,878.209125919045,976.856351879811,563.246737789833,1289.19399047419,2.809,"Bessel","Fixed",8
"beta",0.1,0.0616721636020127,0.0584799676435082,0.0650386092300726,0.037503650649948,0.0858406765540775,2.809,"Bessel","Fixed",8
"mu",1500,2203.69130735658,1488.85485140858,3261.73862651858,1339.95740395719,3067.42521075598,18.67,"Bessel","Adaptive",8
"beta",0.1,0.146732323289182,0.0991350877753202,0.217182182222277,0.0892207825727763,0.204243864005587,18.67,"Bessel","Adaptive",8
"mu",1500,925.284718264125,877.351186203688,975.837068799898,562.677879385686,1287.89155714256,3.283,"Full","Fixed",8
"beta",0.1,0.0616098859933734,0.0584228455998911,0.0649707834861701,0.0374657868174687,0.0857539851692782,3.283,"Full","Fixed",8
"mu",1500,2204.85952692206,2045.52070722996,2376.61027643288,1340.66847761914,3069.05057622499,3.816,"Full","Adaptive",8
"beta",0.1,0.146808467956707,0.136219894141936,0.15822010727257,0.0892671314584265,0.204349804454987,3.816,"Full","Adaptive",8
"mu",1500,917.788931759548,834.942904962575,1008.85523818912,558.120346029401,1277.4575174897,3.55,"Bessel","Fixed",9
"beta",0.1,0.0612480825230542,0.0557270850437834,0.0673160566321302,0.0372458196307385,0.0852503454153699,3.55,"Bessel","Fixed",9
"mu",1500,1358.94514599964,918.217153969549,2011.21477839132,826.346526330214,1891.54376566906,9.069,"Bessel","Adaptive",9
"beta",0.1,0.0906877389782183,0.0612760641608431,0.13421661644902,0.0551453443915623,0.126230133564874,9.069,"Bessel","Adaptive",9
"mu",1500,916.865887028508,834.345400755577,1007.54801792554,557.559201084479,1276.17257297254,3.082,"Full","Fixed",9
"beta",0.1,0.0611865488109876,0.0556872313726101,0.0672289439270052,0.0372084115624971,0.0851646860594781,3.082,"Full","Fixed",9
"mu",1500,1358.93781949071,973.847315617008,1896.30547584571,826.341929577783,1891.53370940365,4.35899999999999,"Full","Adaptive",9
