"parameter","true","point","lwr","upr","lwr_exact","upr_exact","time","implementation","method","replicate"
"mu",150,156.736315216152,105.973311337395,231.815654314352,95.3956041947012,218.077026237602,2.668,"Bessel","Fixed",1
"beta",0.1,0.104105333202234,0.0703881999177737,0.153973541215842,0.0633624131524462,0.144848253252023,2.668,"Bessel","Fixed",1
"mu",150,156.747986527714,105.982743865591,231.829544927165,95.4027004151002,218.093272640327,6.519,"Bessel","Adaptive",1
"beta",0.1,0.104113040847238,0.070394423204337,0.153982727338988,0.0633670994140524,0.144858982280425,6.519,"Bessel","Adaptive",1
"mu",150,156.734525997493,105.971867993614,231.81351904771,95.3945164228299,218.074535572157,1.749,"Full","Fixed",1
"beta",0.1,0.10410412495825,0.0703872225898471,0.153972105086105,0.0633616785759951,0.144846571340505,1.749,"Full","Fixed",1
"mu",150,156.74991005132,105.98502851236,231.830237213473,95.4038698574339,218.095950245206,1.07,"Full","Adaptive",1
"beta",0.1,0.104114535504409,0.0703961473732173,0.15398337704235,0.0633680082641056,0.144861062744713,1.07,"Full","Adaptive",1
"mu",150,143.860773519524,97.2734707802601,212.760190333783,87.5672329662024,200.154314072846,2.359,"Bessel","Fixed",2
"beta",0.1,0.0951213654472966,0.0643176394511283,0.14067795773869,0.0578998330427874,0.132342897851806,2.359,"Bessel","Fixed",2
"mu",150,143.861330598579,97.2739157936204,212.760864747165,87.5675715596091,200.155089637548,7.333,"Bessel","Adaptive",2
"beta",0.1,0.0951217834512639,0.064317980391975,0.140678448418416,0.057900087150511,0.132343479752017,7.333,"Bessel","Adaptive",2
"mu",150,143.862596044983,97.2749377722578,212.762372454629,87.5683409835475,200.156851106419,2.296,"Full","Fixed",2
"beta",0.1,0.0951226222227322,0.0643186580589637,0.140679447171202,0.0579005971464941,0.13234464729897,2.296,"Full","Fixed",2
"mu",150,143.860909339327,97.2736036995245,212.760301344106,87.5673155621945,200.154503116459,1.71,"Full","Adaptive",2
"beta",0.1,0.095121462783884,0.0643177345201083,0.140678037708512,0.0578998922402675,0.132343033327501,1.71,"Full","Adaptive",2
"mu",150,197.729587807495,133.671744717909,292.48507212223,120.319640824194,275.139534790796,2.58,"Bessel","Fixed",3
"beta",0.1,0.132518055597585,0.0895865910860273,0.196023030304852,0.0806380321176071,0.184398079077564,2.58,"Bessel","Fixed",3
"mu",150,197.729560662989,133.671722845807,292.485039674978,120.319624471195,275.139496854782,7.373,"Bessel","Adaptive",3
"beta",0.1,0.132518036831402,0.0895865758876258,0.196023008041705,0.0806380208085845,0.18439805285422,7.373,"Bessel","Adaptive",3
"mu",150,197.729756073996,133.671883061464,292.485267220366,120.319743219572,275.139768928419,1.73,"Full","Fixed",3
"beta",0.1,0.132518144027517,0.0895866609130751,0.196023139131584,0.080638085930568,0.184398202124466,1.73,"Full","Fixed",3
"mu",150,197.729590030011,133.680256158516,292.466456131532,120.319642251881,275.139537808142,1.371,"Full","Adaptive",3
"beta",0.1,0.132518061657331,0.089592317684929,0.196010518749761,0.0806380358554469,0.184398087459216,1.371,"Full","Adaptive",3
"mu",150,193.974344764724,131.133977732749,286.92827806677,118.036434217828,269.912255311619,2.519,"Bessel","Fixed",4
"beta",0.1,0.126451941766848,0.085486314625211,0.187048577853778,0.0769479918810047,0.175955891652691,2.519,"Bessel","Fixed",4
"mu",150,193.977484644578,131.136526402084,286.931990509393,118.038343369601,269.916625919555,7.55,"Bessel","Adaptive",4
"beta",0.1,0.12645386975244,0.0854878642910175,0.187050890883551,0.0769491641032603,0.175958575401619,7.55,"Bessel","Adaptive",4
"mu",150,193.9773291947,131.136398218589,286.931811096326,118.038249023741,269.916409365658,1.773,"Full","Fixed",4
"beta",0.1,0.126453794014795,0.0854878048017791,0.187050796985763,0.0769491181772752,0.175958469852314,1.773,"Full","Fixed",4
"mu",150,193.977338112337,131.1405750084,286.922698781346,118.038254209974,269.916422014699,1.742,"Full","Adaptive",4
"beta",0.1,0.126453797198165,0.0854905342823959,0.187044834379137,0.0769491199577618,0.175958474438568,1.742,"Full","Adaptive",4
"mu",150,164.279770167828,111.066437262619,242.988282973201,99.9820385891675,228.577501746489,2.429,"Bessel","Fixed",5
"beta",0.1,0.109740831623428,0.0741942885198397,0.162317752021859,0.0667891856128836,0.152692477633973,2.429,"Bessel","Fixed",5
"mu",150,164.306189542817,111.088001960364,243.01925901694,99.9981027099712,228.614276375663,7.086,"Bessel","Adaptive",5
"beta",0.1,0.109756238884394,0.0742065865871255,0.162336424946653,0.0667985526264163,0.152713925142372,7.086,"Bessel","Adaptive",5
"mu",150,164.315150288204,111.095283867125,243.0298359607,100.003551134312,228.626749442095,1.778,"Full","Fixed",5
"beta",0.1,0.109761787922201,0.0742110402207299,0.162343096822849,0.066801926370264,0.152721649474139,1.778,"Full","Fixed",5
"mu",150,164.305962740513,111.088670325894,243.017125984935,99.9979647883031,228.613960692722,1.603,"Full","Adaptive",5
"beta",0.1,0.109756089835434,0.0742070380260665,0.162334996469369,0.0667984619888622,0.152713717682005,1.603,"Full","Adaptive",5
"mu",150,170.161501506178,115.045735766216,251.681962847159,103.558143868643,236.764859143712,3.576,"Bessel","Fixed",6
"beta",0.1,0.112952390989269,0.0763667668566425,0.167065376149062,0.068741400686038,0.1571633812925,3.576,"Bessel","Fixed",6
"mu",150,170.152104231625,115.038128408636,251.670806670361,103.552430322464,236.751778140787,6.398,"Bessel","Adaptive",6
"beta",0.1,0.112946313403655,0.0763618678488458,0.16705811514103,0.0687377056059781,0.157154921201332,6.398,"Bessel","Adaptive",6
"mu",150,170.15180646444,115.03788539836,251.670457457183,103.552249154816,236.751363774064,1.833,"Full","Fixed",6
"beta",0.1,0.112946140463649,0.076361729781695,0.167057905604077,0.0687376003898669,0.157154680537432,1.833,"Full","Fixed",6
"mu",150,170.152104628926,115.039796768563,251.667158000095,103.552430516897,236.751778740954,1.48399999999999,"Full","Adaptive",6
"beta",0.1,0.112946313690123,0.0763629801539346,0.167055682615738,0.0687377057488821,0.157154921631364,1.48399999999999,"Full","Adaptive",6
"mu",150,170.302288136647,115.139746594783,251.89276685356,103.643736334444,236.96083993885,3.441,"Bessel","Fixed",7
"beta",0.1,0.111153097272895,0.0751495455060967,0.164405665398939,0.067646315457988,0.154659879087802,3.441,"Bessel","Fixed",7
"mu",150,170.30118490767,115.138855613405,251.891452511361,103.643065562416,236.959304252923,6.664,"Bessel","Adaptive",7
"beta",0.1,0.111152374891383,0.0751489617932607,0.164404805458038,0.0676458762429139,0.154658873539852,6.664,"Bessel","Adaptive",7
"mu",150,170.300906198755,115.138628179054,251.891125600482,103.642896059304,236.958916338206,1.794,"Full","Fixed",7
"beta",0.1,0.111152215519528,0.0751488345428817,0.164404612394217,0.0676457793266637,0.154658651712392,1.794,"Full","Fixed",7
"mu",150,170.301160876218,115.138986417371,251.891095259909,103.643050964182,236.959270788254,1.503,"Full","Adaptive",7
"beta",0.1,0.11115238424335,0.0751490711499767,0.164404593881465,0.0676458819520153,0.154658886534684,1.503,"Full","Adaptive",7
"mu",150,172.971727961458,116.943302524474,255.843798046588,105.266777786313,240.676678136602,2.478,"Bessel","Fixed",8
"beta",0.1,0.112884203577748,0.0763191284253861,0.16696788446478,0.0686988360100768,0.15706957114542,2.478,"Bessel","Fixed",8
"mu",150,172.971756234652,116.943325287413,255.843831884951,105.266794939491,240.676717529813,7.539,"Bessel","Adaptive",8
"beta",0.1,0.112884222780454,0.0763191439871869,0.166967907225042,0.0686988476616587,0.15706959789925,7.539,"Bessel","Adaptive",8
"mu",150,172.971757881967,116.9433266067,255.84383387178,105.266796080415,240.676719683519,1.821,"Full","Fixed",8
"beta",0.1,0.112884223946378,0.0763191449336099,0.166967908603549,0.068698848461539,0.157069599431217,1.821,"Full","Fixed",8
"mu",150,172.971754687874,116.945451651,255.839175422487,105.266794085466,240.676715290282,1.979,"Full","Adaptive",8
"beta",0.1,0.112884221683002,0.0763205375350808,0.166964855287082,0.068698847050753,0.15706959631525,1.979,"Full","Adaptive",8
"mu",150,168.021035982646,113.59814025011,248.516995705432,102.256732478527,233.785339486766,2.514,"Bessel","Fixed",9
"beta",0.1,0.114630364555382,0.0775009867594533,0.169547782906093,0.0697634463072013,0.159497282803563,2.514,"Bessel","Fixed",9
"mu",150,168.021619947648,113.598611796293,248.517691575816,102.257087421457,233.78615247384,7.24,"Bessel","Adaptive",9
"beta",0.1,0.11463076494819,0.0775013103371445,0.169548259448066,0.0697636896736729,0.159497840222707,7.24,"Bessel","Adaptive",9
"mu",150,168.021426715627,113.598454376154,248.51746434924,102.256969936651,233.785883494603,1.713,"Full","Fixed",9
"beta",0.1,0.114630646732576,0.0775012157414931,0.169548116692235,0.0697636178068575,0.159497675658295,1.713,"Full","Fixed",9
"mu",150,168.021505205635,113.599429684153,248.515562886718,102.257017629428,233.785992781842,2.022,"Full","Adaptive",9
"beta",0.1,0.114630688441154,0.0775018727258697,0.16954680281044,0.069763643138744,0.159497733743564,2.022,"Full","Adaptive",9
"mu",150,188.945734649747,127.736582378932,279.485249859174,114.97902633881,262.912442960684,2.368,"Bessel","Fixed",10
"beta",0.1,0.125637603471822,0.0849371807123973,0.185840962388324,0.0764541700055307,0.174821036938114,2.368,"Bessel","Fixed",10
"mu",150,188.946601834392,127.737286474109,279.486274761289,114.979553543229,262.913650125555,7.432,"Bessel","Adaptive",10
"beta",0.1,0.125638144534132,0.0849376154508066,0.185841611848893,0.0764544989234344,0.174821790144829,7.432,"Bessel","Adaptive",10
"mu",150,188.945966545391,127.736765915996,279.485534315548,114.979167339418,262.912765751365,1.794,"Full","Fixed",10
"beta",0.1,0.125637795765154,0.0849373385782295,0.185841185854774,0.0764542869454001,0.174821304584909,1.794,"Full","Fixed",10
"mu",150,188.946788894259,127.742747308657,279.474880457907,114.979667354763,262.913910433754,1.619,"Full","Adaptive",10
"beta",0.1,0.125638343343852,0.0849413288931608,0.185834075400939,0.0764546198917625,0.174822066795941,1.619,"Full","Adaptive",10
"mu",150,162.579099446784,109.921162986132,240.46291777555,98.948028389161,226.210170504406,2.745,"Bessel","Fixed",11
"beta",0.1,0.113299519512315,0.0766028051351069,0.167575862255707,0.0689557520697943,0.157643286954836,2.745,"Bessel","Fixed",11
"mu",150,162.590826690891,109.930607122628,240.47694828555,98.9551584838365,226.226494897946,7.284,"Bessel","Adaptive",11
"beta",0.1,0.113307999810956,0.0766096760020515,0.167585917225597,0.0689609082319022,0.15765509139001,7.284,"Bessel","Adaptive",11
"mu",150,162.583009573958,109.924313005652,240.467593377333,98.9504057812789,226.215613366637,1.652,"Full","Fixed",11
"beta",0.1,0.113302335086149,0.0766050855896363,0.167579202309655,0.0689574640186555,0.157647206153643,1.652,"Full","Fixed",11
"mu",150,162.583282596328,109.926101617024,240.464488333168,98.9505717619166,226.21599343074,2.373,"Full","Adaptive",11
"beta",0.1,0.113302456036391,0.0766062719101385,0.167576964963614,0.0689575375019741,0.157647374570809,2.373,"Full","Adaptive",11
"mu",150,194.013968241353,131.160977426413,286.98642394515,118.060533356175,269.967403126531,1.993,"Bessel","Fixed",12
"beta",0.1,0.130266679727629,0.0880653443351592,0.192691097450075,0.0792693115170449,0.181264047938213,1.993,"Bessel","Fixed",12
"mu",150,194.015793080243,131.162459009779,286.988580793146,118.061642875162,269.969943285324,6.038,"Bessel","Adaptive",12
"beta",0.1,0.130267830363849,0.0880662689488726,0.192692478405737,0.0792700110767684,0.181265649650929,6.038,"Bessel","Adaptive",12
"mu",150,194.015617074475,131.162315017918,286.988375156744,118.061535978891,269.969698170059,1.781,"Full","Fixed",12
"beta",0.1,0.130267730450312,0.0880661894414437,0.192692356786467,0.0792699504161276,0.181265510484497,1.781,"Full","Fixed",12
"mu",150,194.015583849694,131.168475611979,286.974797876661,118.061515592714,269.969652106673,0.963999999999999,"Full","Adaptive",12
"beta",0.1,0.1302677367991,0.0880703663933831,0.192683236662843,0.0792699541664102,0.18126551943179,0.963999999999999,"Full","Adaptive",12
"mu",150,134.980848578857,91.273999496927,199.61686332899,82.1682211413579,187.793476016357,2.621,"Bessel","Fixed",13
"beta",0.1,0.0902028927801811,0.060995163520097,0.133396836672664,0.0549100951697014,0.125495690390661,2.621,"Bessel","Fixed",13
"mu",150,134.975557865352,91.2697262425313,199.610560599811,82.1650042940762,187.786111436627,2.99,"Bessel","Adaptive",13
"beta",0.1,0.090199354313559,0.0609923051565881,0.13339262219546,0.054907943717408,0.12549076490971,2.99,"Bessel","Adaptive",13
"mu",150,134.976818013741,91.2707448207741,199.612060106339,82.1657705419044,187.787865485579,2.992,"Full","Fixed",13
"beta",0.1,0.0902001893374661,0.060992979171093,0.133393617873493,0.0549084514585612,0.125491927216371,2.992,"Full","Fixed",13
"mu",150,134.979976766337,91.2732767927782,199.615865322833,82.1676908975346,187.792262635139,1.066,"Full","Adaptive",13
"beta",0.1,0.0902026131372761,0.0609949654845072,0.133396442676237,0.0549099252494614,0.125495301025091,1.066,"Full","Adaptive",13
